197,Oh Lord,MiC LOWRY,331792,2017-01-01,['pop r&b'; 'trap soul'; 'post-teen pop'; 'r&b'; 'chill r&b'; 'alternative r&b'; 'urban contemporary'; 'afroswing'; 'dance pop'; 'hip pop']
198,Superstition - Single Version,Stevie Wonder,331376,2017-01-01,['motown'; 'soul'; 'quiet storm'; 'indie r&b'; 'funk']
199,Secrets,The Weeknd,331233,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
200,Ni**as In Paris,JAY-Z,325951,2017-01-01,['rap'; 'hip hop'; 'east coast hip hop'; 'pop rap']
1,Starboy,The Weeknd,3342769,2017-01-02,['canadian pop'; 'canadian contemporary r&b'; 'pop']
2,Closer,The Chainsmokers,3019058,2017-01-02,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2726981,2017-01-02,['pop'; 'uk dance'; 'dance pop'; 'uk funky'; 'tropical house'; 'pop dance'; 'post-teen pop'; 'edm']
4,Let Me Love You,DJ Snake,2524666,2017-01-02,['pop'; 'electronic trap'; 'dance pop'; 'edm'; 'pop dance'; 'pop rap']
5,Don't Wanna Know,Maroon 5,2362830,2017-01-02,['pop'; 'pop rock']
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2329762,2017-01-02,['pop'; 'post-teen pop'; 'uk pop'; 'dance pop']
7,Say You Won't Let Go,James Arthur,2263324,2017-01-02,['pop'; 'uk pop'; 'talent show'; 'post-teen pop']
8,Fake Love,Drake,2241455,2017-01-02,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
9,24K Magic,Bruno Mars,2152569,2017-01-02,['pop'; 'post-teen pop'; 'dance pop']
10,I Feel It Coming,The Weeknd,2135229,2017-01-02,['canadian pop'; 'canadian contemporary r&b'; 'pop']
11,Black Beatles,Rae Sremmurd,2114909,2017-01-02,['rap'; 'mississippi hip hop'; 'melodic rap'; 'trap'; 'pop rap'; 'southern hip hop'; 'hip hop']
12,One Dance,Drake,1989817,2017-01-02,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
13,Chantaje (feat. Maluma),Shakira,1866507,2017-01-02,['colombian pop'; 'dance pop'; 'latin pop'; 'pop'; 'latin']
14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1830616,2017-01-02,['moombahton'; 'pop'; 'edm'; 'dance pop'; 'pop dance'; 'pop rap'; 'electro house']
15,Call On Me - Ryan Riback Extended Remix,Starley,1810528,2017-01-02,['aussietronica'; 'tropical house'; 'pop dance']
